year,state_name,population,violent_crime,property_crime,crime_rate
2022,Ohio,11756058,"35,038",212398,1.8067110590982114
2022,Oklahoma,4019800,"17,166",94513,2.3511866262003083
2022,Oregon,4240137,"14,815",125097,2.950305615125172
2022,Pennsylvania,12972008,"37,258",195015,1.5033524493663588
2022,Rhode Island,1093734,"1,897",14074,1.2867845381052432
2022,South Carolina,5282634,"26,361",123172,2.3316398599637984
2022,South Dakota,909824,"3,448",15809,1.7375888083849185
2022,Tennessee,7051339,"44,944",164387,2.331287717127201
2022,Texas,30029572,"131,000",693451,2.3092270512546764
2022,Utah,3380800,"8,244",64370,1.9039872219592995
2022,Vermont,647064,"1,446",10989,1.6982864137086904
2022,Virginia,8683619,"20,624",148845,1.7140894827375546
2022,Washington,7785786,"29,504",262437,3.3707194109881775
2022,West Virginia,1775156,"5,213",23663,1.333009605916325
2022,Wisconsin,5892539,"17,889",80703,1.3695793952318347
2022,Wyoming,581381,"1,188",9590,1.6495207101711271
2023,Alabama,5117673,"21,352",95542,1.8669031804103153
2023,Alaska,736510,"5,403",13858,1.8815766248930768
2023,Arizona,7473027,"32,415",143974,1.9265820931732216
2023,Arkansas,3069463,"19,132",68654,2.2366778814404995
2023,California,39198693,"198,715",911797,2.326090311225428
2023,Colorado,5901339,"28,633",172509,2.923217934099363
2023,Connecticut,3643023,"5,552",56993,1.5644424973435522
2023,Delaware,1036423,"4,084",20068,1.9362750537184141
2023,District of Columbia,687324,"7,846",29296,4.262327519481351
2023,Florida,22904868,"67,048",346059,1.5108535006619555
2023,Georgia,11064432,"40,607",207769,1.877809904747031
2023,Hawaii,1441387,"3,345",30882,2.142519670289797
2023,Idaho,1971122,"4,738",16139,0.8187722525546364
2023,Illinois,12642259,"39,022",215682,1.706040036041027
2023,Indiana,6880131,"23,514",105802,1.537790486838114
2023,Iowa,3218414,"8,807",46157,1.434153592421609
2023,Kansas,2951500,"13,831",68982,2.3371844824665424
2023,Kentucky,4550595,"10,431",70974,1.5596641757836063
2023,Louisiana,4588071,"25,788",119435,2.603163726106244
2023,Maine,1399646,"1,453",15798,1.128713974819347
2023,Maryland,6217062,"27,371",133482,2.1470270040736286
2023,Massachusetts,7066568,"22,675",79095,1.119284495670317
2023,Michigan,10083356,"46,461",157244,1.5594411225786335
2023,Minnesota,5753048,"15,126",98198,1.706886506074693
2023,Mississippi,2943172,"5,941",46639,1.5846508460939421
2023,Missouri,6208038,"29,239",133972,2.158040914053683
2023,Montana,1131302,"5,076",20855,1.8434511739570867
2023,Nebraska,1987864,"4,625",39275,1.9757387829348487
2023,Nevada,3214363,"13,941",81631,2.5395700485601655
2023,New Hampshire,1402199,"1,613",12788,0.911996086147544
2023,New Jersey,9379642,"21,136",143279,1.5275529705717978
2023,New Mexico,2121164,"15,843",61007,2.8761095323133903
2023,New York,19737367,"77,199",355852,1.8029355181975386
2023,North Carolina,10881189,"42,815",225319,2.070720396456674
2023,North Dakota,789047,"2,208",15342,1.944370867641598
2023,Ohio,11824034,"35,626",206514,1.7465612835687043
2023,Oklahoma,4063882,"16,996",87749,2.159240844099312
2023,Oregon,4253653,"14,124",110677,2.6019282720052623
2023,Pennsylvania,13017721,"34,871",203662,1.5644981176044563
2023,Rhode Island,1103429,"1,848",12303,1.1149788522868258
2023,South Carolina,5387830,"25,705",119846,2.22438347163886
2023,South Dakota,918305,"3,234",14903,1.622881286718465
2023,Tennessee,7148304,"45,497",169654,2.373346181136113
2023,Texas,30727890,"125,145",685014,2.229290719278154
2023,Utah,3443222,"7,968",55726,1.6184259975104713
2023,Vermont,648708,"1,401",11790,1.8174587025287186
2023,Virginia,8734685,"21,101",145881,1.6701346413751612
2023,Washington,7857320,"28,231",227166,2.8911384543330296
2023,West Virginia,1770495,"4,761",21042,1.1884811874645227
2023,Wisconsin,5930405,"17,675",73391,1.2375377398339573
2023,Wyoming,585067,"1,133",8629,1.474873817870432
2024,Alabama,5157699,18561,80721,1.5650583719600544
2024,Alaska,740133,"5,359",12665,1.7111789367586636
2024,Arizona,7582384,"31,991",135883,1.7920880820596794
2024,Arkansas,3088354,"17,893",59591,1.9295391655231233
2024,California,39431263,"191,641",819559,2.078449782346561
2024,Colorado,5957493,"28,378",154466,2.5928020393813305
2024,Connecticut,3675069,"4,998",50205,1.3660967998151872
2024,Delaware,1051917,"3,795",18364,1.7457651126467202
2024,District of Columbia,702250,"7,061",25937,3.693414026343895
2024,Florida,23372215,"62,423",331980,1.4204045273415464
2024,Georgia,11180878,"36,420",187263,1.6748505797129707
2024,Hawaii,1446146,"3,148",28154,1.946829711522903
2024,Idaho,2001619,"4,616",14737,0.7362540023850693
2024,Illinois,12710158,"36,756",218004,1.7151950432087468
2024,Indiana,6924275,"21,669",95457,1.3785847615815374
2024,Iowa,3241488,"7,885",42034,1.296750134506128
2024,Kansas,2970606,"13,033",58116,1.956368498548781
2024,Kentucky,4588372,"9,779",61938,1.3498905494149123
2024,Louisiana,4597740,"23,900",105583,2.296410845328357
2024,Maine,1405012,"1,406",16047,1.1421254765083857
2024,Maryland,6263220,"26,330",128369,2.0495687521753987
2024,Massachusetts,7136171,"22,457",79362,1.1121090007512433
2024,Michigan,10140459,"44,043",139823,1.3788626333383922
2024,Minnesota,5793151,"14,868",93054,1.6062761008646245
2024,Mississippi,2943045,"6,194",40115,1.3630440581098828
2024,Missouri,6245466,"28,857",121238,1.9412162359061758
2024,Montana,1137233,"4,816",18392,1.6172587323793806
2024,Nebraska,2005465,"4,423",32622,1.626655164762287
2024,Nevada,3267467,"13,135",71786,2.196992349119364
2024,New Hampshire,1409032,"1,551",12935,0.9180061205139415
2024,New Jersey,9500851,"20,684",135610,1.427345824074075
2024,New Mexico,2130256,"15,276",58605,2.751077804733328
2024,New York,19867248,"75,528",341627,1.7195486762937675
2024,North Carolina,11046024,"41,511",217402,1.968147090754103
2024,North Dakota,796568,"2,026",13399,1.6820911711241224
2024,Ohio,11883304,"34,898",184339,1.5512436608539173
